Container, 0, 0, 0, 0.008052, 0.008052, 0
Link, 0, MPI_LINK, 0.000084, 0.001206, 0.001122, PTP, rank-4, rank-5, 4_5_-3334_3
Link, 0, MPI_LINK, 0.000084, 0.001267, 0.001183, PTP, rank-4, rank-6, 4_6_-3334_2
Link, 0, MPI_LINK, 0.000084, 0.001315, 0.001231, PTP, rank-4, rank-1, 4_1_-3334_1
Link, 0, MPI_LINK, 0.001206, 0.001893, 0.000687, PTP, rank-5, rank-6, 5_6_-3334_6
Link, 0, MPI_LINK, 0.001267, 0.001893, 0.000626, PTP, rank-6, rank-0, 6_0_-3334_7
Link, 0, MPI_LINK, 0.001315, 0.002143, 0.000828, PTP, rank-1, rank-2, 1_2_-3334_9
Link, 0, MPI_LINK, 0.001315, 0.002143, 0.000828, PTP, rank-1, rank-3, 1_3_-3334_8
Link, 0, MPI_LINK, 0.001206, 0.002610, 0.001404, PTP, rank-5, rank-0, 5_0_-3334_5
Link, 0, MPI_LINK, 0.001206, 0.002860, 0.001654, PTP, rank-5, rank-2, 5_2_-3334_4
Link, 0, MPI_LINK, 0.001893, 0.003236, 0.001343, PTP, rank-6, rank-0, 6_0_-3334_12
Link, 0, MPI_LINK, 0.002610, 0.003236, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_13
Link, 0, MPI_LINK, 0.002860, 0.003687, 0.000827, PTP, rank-2, rank-3, 2_3_-3334_15
Link, 0, MPI_LINK, 0.002860, 0.003687, 0.000827, PTP, rank-2, rank-4, 2_4_-3334_14
Link, 0, MPI_LINK, 0.001893, 0.003866, 0.001973, PTP, rank-6, rank-1, 6_1_-3334_11
Link, 0, MPI_LINK, 0.001893, 0.004317, 0.002424, PTP, rank-6, rank-3, 6_3_-3334_10
Link, 0, MPI_LINK, 0.003236, 0.004492, 0.001256, PTP, rank-0, rank-1, 0_1_-3334_18
Link, 0, MPI_LINK, 0.003866, 0.004492, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_19
Link, 0, MPI_LINK, 0.003236, 0.005118, 0.001882, PTP, rank-0, rank-2, 0_2_-3334_17
Link, 0, MPI_LINK, 0.004317, 0.005144, 0.000827, PTP, rank-3, rank-4, 3_4_-3334_21
Link, 0, MPI_LINK, 0.004317, 0.005144, 0.000827, PTP, rank-3, rank-5, 3_5_-3334_20
Link, 0, MPI_LINK, 0.004492, 0.005744, 0.001252, PTP, rank-1, rank-2, 1_2_-3334_24
Link, 0, MPI_LINK, 0.005118, 0.005744, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_25
Link, 0, MPI_LINK, 0.003236, 0.005770, 0.002534, PTP, rank-0, rank-4, 0_4_-3334_16
Link, 0, MPI_LINK, 0.004492, 0.006370, 0.001878, PTP, rank-1, rank-3, 1_3_-3334_23
Link, 0, MPI_LINK, 0.005770, 0.006599, 0.000829, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.005770, 0.006599, 0.000829, PTP, rank-4, rank-6, 4_6_-3334_26
Link, 0, MPI_LINK, 0.006370, 0.007015, 0.000645, PTP, rank-3, rank-4, 3_4_-3334_28
Link, 0, MPI_LINK, 0.004492, 0.007225, 0.002733, PTP, rank-1, rank-5, 1_5_-3334_22
Link, 0, MPI_LINK, 0.007225, 0.008052, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_30
Link, 0, MPI_LINK, 0.007225, 0.008052, 0.000827, PTP, rank-5, rank-0, 5_0_-3334_29
Container, 0, MPI, 0, 0.008052, 0.008052, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000175, 0.001267, 0.001092, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001267, 0.001893, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001893, 0.001893, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001893, 0.006599, 0.004706, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.006599, 0.008052, 0.001453, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.008052, 0.008052, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000133, 0.001206, 0.001073, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.001206, 0.001206, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.001206, 0.005144, 0.003938, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005144, 0.006599, 0.001455, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.006599, 0.007225, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.007225, 0.008052, 0.000827, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000084, 0.000084, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.000084, 0.003687, 0.003603, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003687, 0.005144, 0.001457, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.005144, 0.005770, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.005770, 0.007015, 0.001245, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007015, 0.008052, 0.001037, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.002143, 0.002143, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.002143, 0.003687, 0.001544, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.003687, 0.004317, 0.000630, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.004317, 0.005744, 0.001427, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.005744, 0.006370, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.006370, 0.008052, 0.001682, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000245, 0.002143, 0.001898, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002143, 0.002860, 0.000717, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002860, 0.004492, 0.001632, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.004492, 0.005118, 0.000626, 0.000000, PMPI_Bcast
