State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000175, 0.001267, 0.001092, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001267, 0.001893, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001893, 0.001893, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001893, 0.006599, 0.004706, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.006599, 0.008052, 0.001453, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.008052, 0.008052, 0.000000, 0.000000, PMPI_Finalize
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000133, 0.001206, 0.001073, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.001206, 0.001206, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.001206, 0.005144, 0.003938, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005144, 0.006599, 0.001455, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.006599, 0.007225, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.007225, 0.008052, 0.000827, 0.000000, PMPI_Finalize
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000084, 0.000084, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.000084, 0.003687, 0.003603, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003687, 0.005144, 0.001457, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.005144, 0.005770, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.005770, 0.007015, 0.001245, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007015, 0.008052, 0.001037, 0.000000, PMPI_Finalize
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.002143, 0.002143, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.002143, 0.003687, 0.001544, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.003687, 0.004317, 0.000630, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.004317, 0.005744, 0.001427, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.005744, 0.006370, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.006370, 0.008052, 0.001682, 0.000000, PMPI_Finalize
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000245, 0.002143, 0.001898, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002143, 0.002860, 0.000717, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002860, 0.004492, 0.001632, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.004492, 0.005118, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.005118, 0.005744, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.005744, 0.008052, 0.002308, 0.000000, PMPI_Finalize
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000245, 0.001315, 0.001070, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001315, 0.003236, 0.001921, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.003236, 0.003866, 0.000630, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.003866, 0.004492, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004492, 0.004492, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004492, 0.008052, 0.003560, 0.000000, PMPI_Finalize
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000189, 0.001893, 0.001704, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.001893, 0.002610, 0.000717, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.002610, 0.003236, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003236, 0.003236, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003236, 0.008052, 0.004816, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.008052, 0.008052, 0.000000, 0.000000, PMPI_Finalize
