Container, 0, 0, 0, 0.016377, 0.016377, 0
Link, 0, MPI_LINK, 0.000091, 0.001296, 0.001205, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000091, 0.001296, 0.001205, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000091, 0.001506, 0.001415, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000091, 0.001606, 0.001515, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001296, 0.001922, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_6
Link, 0, MPI_LINK, 0.001506, 0.002132, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_10
Link, 0, MPI_LINK, 0.001296, 0.002150, 0.000854, PTP, rank-1, rank-2, 1_2_-3334_9
Link, 0, MPI_LINK, 0.001606, 0.002433, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001606, 0.002433, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.001296, 0.002725, 0.001429, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001296, 0.003000, 0.001704, PTP, rank-1, rank-3, 1_3_-3334_8
Link, 0, MPI_LINK, 0.002433, 0.003059, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001296, 0.003210, 0.001914, PTP, rank-1, rank-5, 1_5_-3334_7
Link, 0, MPI_LINK, 0.002725, 0.003351, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_18
Link, 0, MPI_LINK, 0.003000, 0.003626, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_19
Link, 0, MPI_LINK, 0.002150, 0.003674, 0.001524, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003210, 0.004037, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003210, 0.004037, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002150, 0.004126, 0.001976, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002150, 0.004419, 0.002269, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004037, 0.004663, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002150, 0.004729, 0.002579, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.004126, 0.004752, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.004419, 0.005045, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.003674, 0.005100, 0.001426, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.003674, 0.005530, 0.001856, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.004729, 0.005556, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004729, 0.005556, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003674, 0.005787, 0.002113, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.005530, 0.006156, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_35
Link, 0, MPI_LINK, 0.005556, 0.006182, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_36
Link, 0, MPI_LINK, 0.003674, 0.006201, 0.002527, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.005787, 0.006413, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.005100, 0.006453, 0.001353, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005100, 0.006927, 0.001827, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.006201, 0.007029, 0.000828, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006201, 0.007029, 0.000828, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005100, 0.007145, 0.002045, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.006927, 0.007553, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_44
Link, 0, MPI_LINK, 0.007029, 0.007655, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_45
Link, 0, MPI_LINK, 0.005100, 0.007655, 0.002555, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.007145, 0.007771, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_46
Link, 0, MPI_LINK, 0.006453, 0.007793, 0.001340, PTP, rank-5, rank-6, 5_6_-3334_43
Link, 0, MPI_LINK, 0.006453, 0.008316, 0.001863, PTP, rank-5, rank-3, 5_3_-3334_40
Link, 0, MPI_LINK, 0.007655, 0.008482, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.007655, 0.008482, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.006453, 0.008512, 0.002059, PTP, rank-5, rank-7, 5_7_-3334_42
Link, 0, MPI_LINK, 0.008316, 0.008942, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_53
Link, 0, MPI_LINK, 0.008482, 0.009108, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_54
Link, 0, MPI_LINK, 0.006453, 0.009108, 0.002655, PTP, rank-5, rank-9, 5_9_-3334_41
Link, 0, MPI_LINK, 0.008512, 0.009138, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_55
Link, 0, MPI_LINK, 0.007793, 0.009151, 0.001358, PTP, rank-6, rank-7, 6_7_-3334_52
Link, 0, MPI_LINK, 0.007793, 0.009702, 0.001909, PTP, rank-6, rank-4, 6_4_-3334_49
Link, 0, MPI_LINK, 0.007793, 0.009885, 0.002092, PTP, rank-6, rank-8, 6_8_-3334_51
Link, 0, MPI_LINK, 0.009108, 0.009935, 0.000827, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.009108, 0.009935, 0.000827, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.009702, 0.010328, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_62
Link, 0, MPI_LINK, 0.009885, 0.010511, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_63
Link, 0, MPI_LINK, 0.009151, 0.010518, 0.001367, PTP, rank-7, rank-8, 7_8_-3334_61
Link, 0, MPI_LINK, 0.009935, 0.010561, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_64
Link, 0, MPI_LINK, 0.007793, 0.010561, 0.002768, PTP, rank-6, rank-0, 6_0_-3334_50
Link, 0, MPI_LINK, 0.009151, 0.011084, 0.001933, PTP, rank-7, rank-5, 7_5_-3334_58
Link, 0, MPI_LINK, 0.009151, 0.011261, 0.002110, PTP, rank-7, rank-9, 7_9_-3334_60
Link, 0, MPI_LINK, 0.010561, 0.011388, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_70
Link, 0, MPI_LINK, 0.010561, 0.011388, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_69
Link, 0, MPI_LINK, 0.011084, 0.011710, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_71
Link, 0, MPI_LINK, 0.011261, 0.011887, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_72
Link, 0, MPI_LINK, 0.010518, 0.011891, 0.001373, PTP, rank-8, rank-9, 8_9_-3334_68
Link, 0, MPI_LINK, 0.011388, 0.012014, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_73
Link, 0, MPI_LINK, 0.009151, 0.012014, 0.002863, PTP, rank-7, rank-1, 7_1_-3334_59
Link, 0, MPI_LINK, 0.010518, 0.012466, 0.001948, PTP, rank-8, rank-6, 8_6_-3334_65
Link, 0, MPI_LINK, 0.010518, 0.012638, 0.002120, PTP, rank-8, rank-0, 8_0_-3334_67
Link, 0, MPI_LINK, 0.012014, 0.012842, 0.000828, PTP, rank-1, rank-2, 1_2_-3334_79
Link, 0, MPI_LINK, 0.012014, 0.012842, 0.000828, PTP, rank-1, rank-3, 1_3_-3334_78
Link, 0, MPI_LINK, 0.012466, 0.013092, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_80
Link, 0, MPI_LINK, 0.011891, 0.013266, 0.001375, PTP, rank-9, rank-0, 9_0_-3334_77
Link, 0, MPI_LINK, 0.012638, 0.013276, 0.000638, PTP, rank-0, rank-1, 0_1_-3334_81
Link, 0, MPI_LINK, 0.012842, 0.013468, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_82
Link, 0, MPI_LINK, 0.010518, 0.013468, 0.002950, PTP, rank-8, rank-2, 8_2_-3334_66
Link, 0, MPI_LINK, 0.011891, 0.013841, 0.001950, PTP, rank-9, rank-7, 9_7_-3334_74
Link, 0, MPI_LINK, 0.011891, 0.014023, 0.002132, PTP, rank-9, rank-1, 9_1_-3334_76
Link, 0, MPI_LINK, 0.013468, 0.014298, 0.000830, PTP, rank-2, rank-3, 2_3_-3334_84
Link, 0, MPI_LINK, 0.013468, 0.014298, 0.000830, PTP, rank-2, rank-4, 2_4_-3334_83
Link, 0, MPI_LINK, 0.013841, 0.014467, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_85
Link, 0, MPI_LINK, 0.014023, 0.014684, 0.000661, PTP, rank-1, rank-2, 1_2_-3334_86
Link, 0, MPI_LINK, 0.014298, 0.014924, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_87
Link, 0, MPI_LINK, 0.011891, 0.014924, 0.003033, PTP, rank-9, rank-3, 9_3_-3334_75
Link, 0, MPI_LINK, 0.014924, 0.015751, 0.000827, PTP, rank-3, rank-4, 3_4_-3334_89
Link, 0, MPI_LINK, 0.014924, 0.015751, 0.000827, PTP, rank-3, rank-5, 3_5_-3334_88
Link, 0, MPI_LINK, 0.015751, 0.016377, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_90
Container, 0, MPI, 0, 0.016377, 0.016377, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000063, 0.001296, 0.001233, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.001296, 0.004663, 0.003367, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.004663, 0.005556, 0.000893, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.005556, 0.007029, 0.001473, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007029, 0.007655, 0.000626, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007655, 0.009138, 0.001483, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009138, 0.009885, 0.000747, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009885, 0.010518, 0.000633, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010518, 0.010518, 0.000000, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010518, 0.014467, 0.003949, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.014467, 0.016377, 0.001910, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.016377, 0.016377, rank-7
