State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.003200, 0.003826, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.003826, 0.004452, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004452, 0.004452, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004452, 0.010479, 0.006027, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.010479, 0.011932, 0.001453, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.011932, 0.011932, 0.000000, 0.000000, PMPI_Finalize
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.002300, 0.002926, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.002926, 0.002926, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.002926, 0.009009, 0.006083, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.009009, 0.010479, 0.001470, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.010479, 0.011105, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.011105, 0.011932, 0.000827, 0.000000, PMPI_Finalize
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.001500, 0.001500, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.001500, 0.007539, 0.006039, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007539, 0.009009, 0.001470, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009009, 0.009635, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009635, 0.010479, 0.000844, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.010479, 0.011932, 0.001453, 0.000000, PMPI_Finalize
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.006070, 0.006070, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.006070, 0.007539, 0.001469, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.007539, 0.008165, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.008165, 0.009009, 0.000844, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.009009, 0.009635, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.009635, 0.011932, 0.002297, 0.000000, PMPI_Finalize
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.004600, 0.006070, 0.001470, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.006070, 0.006696, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.006696, 0.007539, 0.000843, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007539, 0.008165, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.008165, 0.008791, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.008791, 0.011932, 0.003141, 0.000000, PMPI_Finalize
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.004600, 0.005226, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.005226, 0.006070, 0.000844, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.006070, 0.006696, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.006696, 0.007322, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007322, 0.007322, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007322, 0.011932, 0.004610, 0.000000, PMPI_Finalize
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.003800, 0.004452, 0.000652, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.004452, 0.005078, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005078, 0.005704, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005704, 0.005704, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005704, 0.011932, 0.006228, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.011932, 0.011932, 0.000000, 0.000000, PMPI_Finalize
